course,lecturer,students,venue,room,capacity,timeslot,duration,level
ENG417,Dr. Language Lecturer (LAN placeholder),75,E401A,E401A,180,Wednesday_10-11,2,400
BCH434,Prof. Chinedu Shalom Nwodo,75,MCE WORKSHOP,MCE WORKSHOP,100,Friday_9-10,1,400
MAT432,Dr. Odetunmibi Oluwole Akinwunmi,75,CHEMLAB(HALL 112),CHEMLAB(HALL 112),150,Monday_4-5,1,400
ENG411,Dr. English Lecturer (ENG placeholder),75,HALL105PHYLAB,HALL105PHYLAB,150,Tuesday_9-10,1,400
CHE 310/ 331,Dr. Ayoola Ayodeji Ayodele,75,CEDS BUILDING,CEDS BUILDING,200,Saturday_2-3,2,300
ICE 418,Unknown Lecturer,75,E101,E101,250,Thursday_3-4,1,400
CHM455,Dr. Adedapo Emmanuel Adebusayo,75,CVE 400LH,CVE 400LH,180,Wednesday_1-2,2,400
BCH 438,Prof. Ogunlana Olubanke Olujoke,75,COLLEGE_HALL_B,COLLEGE_HALL_B,350,Saturday_4-5,2,400
CVE 433,Engr. Chidiebere Ezenkwa,74,LT2,LT2,1400,Thursday_11-12,2,400
EDS411,Unknown Lecturer,74,OVERFLOW_HALL_1,OVERFLOW_HALL_1,1000,Tuesday_1-2,1,400
CHE 513/ 533,Dr. Oladimeji Temitope Elizabeth,74,B301,B301,200,Tuesday_10-11,1,500
PHY411,Unknown Lecturer,74,PET 300LH,PET 300LH,220,Monday_2-3,2,400
PRE416,Unknown Lecturer,74,FLUID LAB,FLUID LAB,120,Tuesday_9-10,2,400
CIT413,Unknown Lecturer,74,HALL105PHYLAB,HALL105PHYLAB,150,Monday_5-6,1,400
POS412,Unknown Lecturer,74,MCE WORKSHOP,MCE WORKSHOP,100,Tuesday_2-3,1,400
PSS415,Unknown Lecturer,74,CHE 400LH,CHE 400LH,180,Thursday_5-6,1,400
CHE 512 / 532,Dr. Sanni Samuel Eshorame,74,BIO_LAB,BIO_LAB,150,Friday_11-12,2,500
MCE412,Unknown Lecturer,73,F401,F401,180,Saturday_1-2,2,400
ICE415,Unknown Lecturer,73,E202,E202,250,Tuesday_1-2,2,400
POS 411,Unknown Lecturer,73,MCE 400LH,MCE 400LH,180,Thursday_1-2,2,400
PSS 411,Unknown Lecturer,73,HALL203,HALL203,400,Tuesday_8-9,1,400
PHY413,Unknown Lecturer,73,CHE 500LH,CHE 500LH,150,Tuesday_10-11,2,400
MAT413,Mrs. Agbesuyi Moyosor Oluwabukunmi,73,STUDIO200,STUDIO200,220,Thursday_8-9,2,400
PHY436,Unknown Lecturer,73,CHAPEL,CHAPEL,1200,Saturday_4-5,2,400
CHE315/TC H315,Mr. Adeshina Ayo Joshua,73,BIOLAB,BIOLAB,140,Tuesday_4-5,1,300
IRL413,Unknown Lecturer,73,HALL107,HALL107,500,Tuesday_9-10,2,400
ACC433,Dr. Okougbo Peace Onuwabhagbe,73,FLUID LAB,FLUID LAB,120,Friday_5-6,1,400
ACC412,Dr. Nwobodo Helen Ohioren,73,TEMP_HALL_2,TEMP_HALL_2,250,Tuesday_3-4,1,400
EIE412,Unknown Lecturer,73,EIE500LH,EIE500LH,180,Saturday_3-4,1,400
CHE534/51 7,Dr. Igbokwe Ezinne Chinonye,72,BCH LAB,BCH LAB,180,Tuesday_8-9,2,500
ACC414,Dr. Alawode Olufemi Peter,72,STUDIO100,STUDIO100,250,Thursday_4-5,2,400
SOC417,Dr. Allo Tolulope Abiola,72,LIBRARY,LIBRARY,500,Wednesday_9-10,2,400
ARC411,Mrs. Odiah Onyeka Esther Yvonne,72,HALL307,HALL307,350,Wednesday_5-6,3,400
PHY435,Unknown Lecturer,72,COLLEGE_HALL_A,COLLEGE_HALL_A,350,Tuesday_3-4,2,400
PHY 438,Unknown Lecturer,72,PTE 300LH,PTE 300LH,220,Wednesday_4-5,2,400
